DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
RIVERSIDE CAFE,MANHATTAN,475,RIVERSIDE DRIVE,10115,"475 RIVERSIDE DRIVE, MANHATTAN, NY 10115",American,1/31/2018,Food contact surface not properly maintained.,Not Critical,7,A,1/31/2018
JUICE VITALITY,MANHATTAN,192,1ST AVE,10009,"192 1ST AVE, MANHATTAN, NY 10009","Juice, Smoothies, Fruit Salads",2/5/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2/5/2019
COCO FRESH TEA & JUICE,MANHATTAN,79,DIVISION ST,10002,"79 DIVISION ST, MANHATTAN, NY 10002","Juice, Smoothies, Fruit Salads",6/22/2018,,Not Applicable,0,A,6/22/2018
SOFT SWERVE,MANHATTAN,85B,ALLEN ST,10002,"85B ALLEN ST, MANHATTAN, NY 10002","Ice Cream, Gelato, Yogurt, Ices",3/7/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,3/7/2019
PRET A MANGER,MANHATTAN,380,LEXINGTON AVENUE,10017,"380 LEXINGTON AVENUE, MANHATTAN, NY 10017",Sandwiches,1/8/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8,A,1/8/2016
ROTI ROLL / SUITE,MANHATTAN,992,AMSTERDAM AVENUE,10025,"992 AMSTERDAM AVENUE, MANHATTAN, NY 10025",Indian,1/25/2018,Live roaches present in facility's food and/or non-food areas.,Critical,19,B,1/25/2018
LINCOLN FRIED CHICKEN,MANHATTAN,576,W 125TH ST,10027,"576 W 125TH ST, MANHATTAN, NY 10027",Chicken,3/6/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/6/2018
PIZZA HAVEN,MANHATTAN,4942,BROADWAY,10034,"4942 BROADWAY, MANHATTAN, NY 10034",Pizza,9/22/2017,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,12,A,9/22/2017
OXBOW TAVERN,MANHATTAN,240,COLUMBUS AVENUE,10023,"240 COLUMBUS AVENUE, MANHATTAN, NY 10023",American,11/19/2015,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,11/19/2015
THE BUTCHER'S DAUGHTER,MANHATTAN,19,KENMARE STREET,10012,"19 KENMARE STREET, MANHATTAN, NY 10012",Vegetarian,3/13/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,3/13/2017
SALUGGI'S,MANHATTAN,399,GRAND ST,10002,"399 GRAND ST, MANHATTAN, NY 10002",Italian,3/18/2019,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,29,Z,3/18/2019
DUNKIN' DONUTS,MANHATTAN,2,PENNSYLVANIA PLAZA,10121,"2 PENNSYLVANIA PLAZA, MANHATTAN, NY 10121",CafÃ©/Coffee/Tea,9/14/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,9/14/2015
TIME WARNER(CAFETERIA),MANHATTAN,1,TIME WARNER CENTER,10019,"1 TIME WARNER CENTER, MANHATTAN, NY 10019",American,1/13/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,1/13/2017
THE PARK,MANHATTAN,118122,10 AVENUE,,"118122 10 AVENUE, MANHATTAN, NY ",American,7/30/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,7/30/2018
SUBWAY,MANHATTAN,367,W 34TH ST,10001,"367 W 34TH ST, MANHATTAN, NY 10001",Sandwiches,5/24/2016,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,13,A,5/24/2016
FRESH 2 GO DELI,MANHATTAN,607,9TH AVE,10036,"607 9TH AVE, MANHATTAN, NY 10036",Delicatessen,10/30/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,P,10/30/2018
DOWNTOWN BAKERY II MEXICAN FOOD,MANHATTAN,69,1 AVENUE,10003,"69 1 AVENUE, MANHATTAN, NY 10003",Mexican,8/4/2016,Wiping cloths soiled or not stored in sanitizing solution.,Critical,8,A,8/4/2016
TIANTI BOOKS CAFE MEDiTATION,MANHATTAN,535,8TH AVE,10018,"535 8TH AVE, MANHATTAN, NY 10018",American,1/31/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,1/31/2018
HELL'S KITCHEN PIZZA,MANHATTAN,696,9TH AVE,10036,"696 9TH AVE, MANHATTAN, NY 10036",Pizza,3/28/2019,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,Not Yet Graded,
STROKOS GOURMET DELI,MANHATTAN,1090,AMSTERDAM AVE,10025,"1090 AMSTERDAM AVE, MANHATTAN, NY 10025",Delicatessen,6/22/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/22/2017
MELBA'S,MANHATTAN,300,WEST  114 STREET,10026,"300 WEST  114 STREET, MANHATTAN, NY 10026",American,6/20/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,6/20/2017
BEYOND SUSHI,MANHATTAN,227229,E 14TH ST,,"227229 E 14TH ST, MANHATTAN, NY ",Vegetarian,12/18/2018,Food Protection Certificate not held by supervisor of food operations.,Critical,13,A,12/18/2018
MICHAEL'S,MANHATTAN,24,WEST   55 STREET,10019,"24 WEST   55 STREET, MANHATTAN, NY 10019",American,1/24/2019,Thawing procedures improper.,Not Critical,9,A,1/24/2019
JOY BURGER BAR,MANHATTAN,1567,LEXINGTON AVE,10029,"1567 LEXINGTON AVE, MANHATTAN, NY 10029",Hamburgers,7/9/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22,B,7/9/2018
OCABANON,MANHATTAN,245,W 29TH ST,10001,"245 W 29TH ST, MANHATTAN, NY 10001",French,11/16/2016,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,B,11/16/2016
NEW YORK BEER COMPANY,MANHATTAN,321,WEST   44 STREET,10036,"321 WEST   44 STREET, MANHATTAN, NY 10036",American,3/11/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,3/11/2019
LA CANTINA HEIGHTS,MANHATTAN,4460,BROADWAY,10040,"4460 BROADWAY, MANHATTAN, NY 10040",American,5/23/2017,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,11,A,5/23/2017
JOE COFFEE,MANHATTAN,131,WEST   21 STREET,10011,"131 WEST   21 STREET, MANHATTAN, NY 10011",CafÃ©/Coffee/Tea,3/6/2019,''''Wash hands sign not posted at hand wash facility.,Not Critical,13,A,3/6/2019
LUPA OSTERIA ROMANA,MANHATTAN,170,THOMPSON STREET,10012,"170 THOMPSON STREET, MANHATTAN, NY 10012",Italian,8/22/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,8/22/2018
MAKE MY CAKE,MANHATTAN,2380,ADAM CLAYTON POWELL BOULEVARD,,"2380 ADAM CLAYTON POWELL BOULEVARD, MANHATTAN, NY ",Bakery,4/8/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,4/8/2016
CONVENE,MANHATTAN,75,ROCKEFELLER PLZ,10019,"75 ROCKEFELLER PLZ, MANHATTAN, NY 10019",American,11/14/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,11/14/2018
JOHNNY'S BAR,MANHATTAN,90,GREENWICH AVENUE,10011,"90 GREENWICH AVENUE, MANHATTAN, NY 10011","Bottled beverages, including water, sodas, juices, etc.",6/9/2017,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,17,B,6/9/2017
FUJI EAST,MANHATTAN,455,MAIN ST,10044,"455 MAIN ST, MANHATTAN, NY 10044",Japanese,2/15/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2/15/2018
SPICE SAIGON,MANHATTAN,1237,1ST AVE,10065,"1237 1ST AVE, MANHATTAN, NY 10065",Vietnamese/Cambodian/Malaysia,9/14/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,9/14/2016
JEF CHINESE,MANHATTAN,913,2ND AVE,10017,"913 2ND AVE, MANHATTAN, NY 10017",Chinese,12/13/2018,Hot food item not held at or above 140Âº F.,Critical,11,A,12/13/2018
DUNKIN' DONUTS,MANHATTAN,19,RECTOR STREET,10006,"19 RECTOR STREET, MANHATTAN, NY 10006",Donuts,2/22/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,2/22/2019
PAPAYA DOG,MANHATTAN,50,FULTON ST,10038,"50 FULTON ST, MANHATTAN, NY 10038",American,10/7/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,10/7/2016
ANNIE MOORES PUB & RESTAURANT,MANHATTAN,22,E 41ST ST,10017,"22 E 41ST ST, MANHATTAN, NY 10017",American,4/24/2018,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,13,A,4/24/2018
HUNAN BISTRO,MANHATTAN,96,3RD AVE,10003,"96 3RD AVE, MANHATTAN, NY 10003",Chinese,4/11/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,53,C,4/11/2016
SUSHI ZO,MANHATTAN,127,E 39TH ST,10016,"127 E 39TH ST, MANHATTAN, NY 10016",Japanese,11/20/2018,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,11/20/2018
MAMA EATERY,MANHATTAN,46,MULBERRY STREET,10013,"46 MULBERRY STREET, MANHATTAN, NY 10013",American,3/1/2018,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,10,A,3/1/2018
UPSIDE PIZZA,MANHATTAN,270,W 39TH ST,10018,"270 W 39TH ST, MANHATTAN, NY 10018",Pizza,3/21/2019,Hot food item not held at or above 140Âº F.,Critical,7,A,3/21/2019
CUBBYHOLE,MANHATTAN,281,WEST   12 STREET,10014,"281 WEST   12 STREET, MANHATTAN, NY 10014",American,8/31/2016,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7,A,8/31/2016
JOHN SULLIVAN'S PUB,MANHATTAN,210,W 35TH ST,10001,"210 W 35TH ST, MANHATTAN, NY 10001",Irish,12/13/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/13/2017
TURKISH CUISINE,MANHATTAN,631,9 AVENUE,10036,"631 9 AVENUE, MANHATTAN, NY 10036",Turkish,1/17/2019,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,12,A,1/17/2019
KIKOO SUSHI,MANHATTAN,141,1ST AVE,10003,"141 1ST AVE, MANHATTAN, NY 10003",Japanese,10/26/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,C,10/26/2017
THE SPOT KARAOKE LOUNGE,MANHATTAN,34,WEST   32 STREET,10001,"34 WEST   32 STREET, MANHATTAN, NY 10001",Korean,4/4/2017,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,4/4/2017
WILLIAMSBURG PIZZA,MANHATTAN,277,BROOME ST,10002,"277 BROOME ST, MANHATTAN, NY 10002",Pizza/Italian,8/22/2016,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,8/22/2016
THE RITZ-CARLTON HOTEL/AUDEN,MANHATTAN,50,CENTRAL PARK SOUTH,10019,"50 CENTRAL PARK SOUTH, MANHATTAN, NY 10019",American,4/10/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,4/10/2018
VIVI BUBBLE TEA,MANHATTAN,226,E 14TH ST,10003,"226 E 14TH ST, MANHATTAN, NY 10003",CafÃ©/Coffee/Tea,2/6/2019,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,2/6/2019
T.G.I. FRIDAY'S,MANHATTAN,761,7 AVENUE,10019,"761 7 AVENUE, MANHATTAN, NY 10019",American,2/27/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,2/27/2018
EL AGUILA,MANHATTAN,1634,LEXINGTON AVENUE,10029,"1634 LEXINGTON AVENUE, MANHATTAN, NY 10029",Mexican,8/18/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,26,B,8/18/2016
PAM REAL THAI 49,MANHATTAN,404,W 49TH ST,10019,"404 W 49TH ST, MANHATTAN, NY 10019",Thai,1/29/2019,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,1/29/2019
ADALYA,MANHATTAN,55,IRVING PL,10003,"55 IRVING PL, MANHATTAN, NY 10003",Mediterranean,9/28/2018,Live roaches present in facility's food and/or non-food areas.,Critical,17,B,9/28/2018
TAO RESTAURANT,MANHATTAN,42,EAST   58 STREET,10022,"42 EAST   58 STREET, MANHATTAN, NY 10022",Asian,3/12/2019,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,3/12/2019
BEA,MANHATTAN,403,W 43RD STREET,10036,"403 W 43RD STREET, MANHATTAN, NY 10036",American,9/13/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,B,9/13/2018
ESANATION,MANHATTAN,750,9TH AVE,10019,"750 9TH AVE, MANHATTAN, NY 10019",Thai,11/8/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,11/8/2017
LUNCH BOX,MANHATTAN,886,9 AVENUE,10019,"886 9 AVENUE, MANHATTAN, NY 10019",American,2/25/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,2/25/2019
TAKUMI JAPANESE CUISINE,MANHATTAN,90,CHAMBERS ST,10007,"90 CHAMBERS ST, MANHATTAN, NY 10007",Japanese,10/12/2018,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,10/12/2018
59E59 BAR,MANHATTAN,59,EAST   59 STREET,10022,"59 EAST   59 STREET, MANHATTAN, NY 10022",American,5/16/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,5/16/2018
SIX PANS/ CREAMLINE,MANHATTAN,180,7TH AVE,10011,"180 7TH AVE, MANHATTAN, NY 10011",American,11/2/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,11/2/2017
LYFEPING,MANHATTAN,107,CHAMBERS ST,10007,"107 CHAMBERS ST, MANHATTAN, NY 10007","Juice, Smoothies, Fruit Salads",10/5/2018,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,4,A,10/5/2018
GRACE STREET,MANHATTAN,17,W 32 STREET,10001,"17 W 32 STREET, MANHATTAN, NY 10001",CafÃ©/Coffee/Tea,12/3/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,12/3/2018
SILO CAFE,MANHATTAN,805,3 AVENUE,10022,"805 3 AVENUE, MANHATTAN, NY 10022",Delicatessen,6/20/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,6/20/2018
PRESSED JUICERY,MANHATTAN,2857,BROADWAY,10025,"2857 BROADWAY, MANHATTAN, NY 10025","Bottled beverages, including water, sodas, juices, etc.",11/20/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,11/20/2018
POTBELLY SANDWICH WORKS,MANHATTAN,19,WEST   45 STREET,10036,"19 WEST   45 STREET, MANHATTAN, NY 10036",Sandwiches/Salads/Mixed Buffet,4/6/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,4/6/2016
JUST SALAD,MANHATTAN,320,PARK AVENUE,10022,"320 PARK AVENUE, MANHATTAN, NY 10022",Salads,6/28/2017,Food contact surface not properly maintained.,Not Critical,2,A,6/28/2017
BENTON CAFE,MANHATTAN,156,EAST   45 STREET,10017,"156 EAST   45 STREET, MANHATTAN, NY 10017",Japanese,2/23/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2/23/2018
MOMOYA,MANHATTAN,427,AMSTERDAM AVE,10024,"427 AMSTERDAM AVE, MANHATTAN, NY 10024",Japanese,10/25/2017,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,13,A,10/25/2017
SHERATON NEW YORK HOTEL & TOWERS,MANHATTAN,811,7 AVENUE,10019,"811 7 AVENUE, MANHATTAN, NY 10019",American,11/20/2017,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,11/20/2017
SHIMIZU RESTAURANT,MANHATTAN,318324,51 STREET,,"318324 51 STREET, MANHATTAN, NY ",Japanese,4/19/2016,Wiping cloths soiled or not stored in sanitizing solution.,Critical,11,A,4/19/2016
MARKET TABLE,MANHATTAN,54,CARMINE STREET,10014,"54 CARMINE STREET, MANHATTAN, NY 10014",American,2/27/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,2/27/2019
WATER FRONT ALE HOUSE,MANHATTAN,540,2 AVENUE,10016,"540 2 AVENUE, MANHATTAN, NY 10016",American,7/31/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,7/31/2017
ARRIBA ARRIBA,MANHATTAN,762,9 AVENUE,10019,"762 9 AVENUE, MANHATTAN, NY 10019",Mexican,7/10/2018,Food contact surface not properly maintained.,Not Critical,7,A,7/10/2018
TRUMP CAFE & GRILL,MANHATTAN,725,5 AVENUE,10022,"725 5 AVENUE, MANHATTAN, NY 10022",American,7/11/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,B,7/11/2018
STK,MANHATTAN,28,LITTLE WEST   12 STREET,10014,"28 LITTLE WEST   12 STREET, MANHATTAN, NY 10014",American,10/26/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,10/26/2016
REMEDY DINER,MANHATTAN,245,EAST HOUSTON STREET,10002,"245 EAST HOUSTON STREET, MANHATTAN, NY 10002",American,6/26/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/26/2017
PARIS BAGUETTE,MANHATTAN,575,8TH AVE,10018,"575 8TH AVE, MANHATTAN, NY 10018",CafÃ©/Coffee/Tea,11/30/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,27,B,11/30/2018
West Place,MANHATTAN,1288,AMSTERDAM AVE,10027,"1288 AMSTERDAM AVE, MANHATTAN, NY 10027",Chinese,7/11/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,30,C,7/11/2018
STARBUCKS,MANHATTAN,95,WEST BROADWAY,10013,"95 WEST BROADWAY, MANHATTAN, NY 10013",CafÃ©/Coffee/Tea,9/14/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,9/14/2018
WINE:34,MANHATTAN,127,E 34TH ST,10016,"127 E 34TH ST, MANHATTAN, NY 10016",Italian,7/23/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20,B,7/23/2018
RUMOURS,MANHATTAN,933,8 AVENUE,10019,"933 8 AVENUE, MANHATTAN, NY 10019",American,11/19/2018,Hot food item not held at or above 140Âº F.,Critical,27,B,11/19/2018
LA SONRISA EMPANADAS,MANHATTAN,NKA,"HIGHLINE PARK, WEST 15TH ST",,"NKA HIGHLINE PARK, WEST 15TH ST, MANHATTAN, NY ","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/4/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,5/4/2016
124 CAFE,MANHATTAN,53,E 124TH ST,10035,"53 E 124TH ST, MANHATTAN, NY 10035",American,3/19/2019,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,34,Not Yet Graded,
MACAO  RESTAURANT AND BAR,MANHATTAN,311,CHURCH STREET,10013,"311 CHURCH STREET, MANHATTAN, NY 10013",Asian,2/8/2017,Hot food item not held at or above 140Âº F.,Critical,8,A,2/8/2017
KING FOOD,MANHATTAN,489,AMSTERDAM AVENUE,10024,"489 AMSTERDAM AVENUE, MANHATTAN, NY 10024",Chinese,8/9/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,8/9/2016
PIER SIXTY ONE-THE LIGHTHOUSE,MANHATTAN,0,CHELSEA PIERS - PIER 61,,"0 CHELSEA PIERS - PIER 61, MANHATTAN, NY ",American,8/17/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,8/17/2018
UDON WEST,MANHATTAN,11,ST MARKS PLACE,10003,"11 ST MARKS PLACE, MANHATTAN, NY 10003",Japanese,7/26/2018,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,7/26/2018
CHINA ONE,MANHATTAN,609,MAIN ST,10044,"609 MAIN ST, MANHATTAN, NY 10044",Chinese,2/15/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2/15/2018
BOSTON MARKET,MANHATTAN,885,10 AVENUE,10019,"885 10 AVENUE, MANHATTAN, NY 10019",American,5/15/2018,Hot food item not held at or above 140Âº F.,Critical,9,A,5/15/2018
KIND REGARDS,MANHATTAN,152,LUDLOW STREET,10002,"152 LUDLOW STREET, MANHATTAN, NY 10002",CafÃ©/Coffee/Tea,5/4/2018,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,10,A,5/4/2018
MIGHTY QUINN'S BBQ,MANHATTAN,75,GREENWICH AVE,10014,"75 GREENWICH AVE, MANHATTAN, NY 10014",American,9/3/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,9/3/2015
HAPPY HOT HUNAN RESTAURANT,MANHATTAN,969,AMSTERDAM AVE,10025,"969 AMSTERDAM AVE, MANHATTAN, NY 10025",Chinese,4/5/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,4/5/2017
LASANI RESTAURANT,MANHATTAN,15,WEST   29 STREET,10001,"15 WEST   29 STREET, MANHATTAN, NY 10001",Pakistani,2/27/2019,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,2/27/2019
MCDONALD'S,MANHATTAN,2726,BROADWAY,10025,"2726 BROADWAY, MANHATTAN, NY 10025",Hamburgers,9/1/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,9/1/2016
SUBWAY,MANHATTAN,578,W 125TH ST,10027,"578 W 125TH ST, MANHATTAN, NY 10027",Sandwiches/Salads/Mixed Buffet,2/10/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,2/10/2017
